Key,Id,English(en),Italian(it)
prova,594917404672,prova en,prova it
catherine_request_review,,Catherine wishes for a mask to rekindle the fires of her relationship with her husband.,
catherine_request,,"Oh my! Such a curious craft you bring to our modest town.. maybe I should try out what you offer. Oh, but I shouldn’t.. No I can’t keep going like this, see, my husband.. he is a little aloof one might say. I feel like our relationship has somehow faded over the years, no matter what I try! I think I... I would need something to rekindle what is seemingly lost.. Something to make his eyes twinkle like they used to when he looks at me. Something to remind him how precious I am to him. I wish for him to rejoice in my presence like the day we first met, and.. and the day we came home after our wedding... I miss being cherished like that... That is what I wish for… if something like that is possible that is…",
catherine_positive_result,,"Mask maker! I was unsure it would work but... oh my it did! Wonderfully! I’m ever so blessed and thankful, here’s what I owe you for your expert services.",
catherine_neutral_result,,Uhm… mask maker? I think your creation is working but I still don’t feel like it hits the right spot… could you fix it please?,
catherine_negative_result,,Mask maker… Your work didn’t give me what I hoped for and I’m unsatisfied but alas I wish you to try again…,
alphonse_request_review,,Alphonse needs an edge over his opponent in the upcoming duel.,
alphonse_request,,"Hey. You’re the one who makes those magical masks, right? I could use your services. Ranulf, that tall fellow guard over there, accused me of fooling around with his woman. I didn’t do anything of the sort of course but he has challenged me to a duel and I’m troubled; I can’t possibly beat that lad, he might be dumb as a rock but have you seen the size of his arms? I need something that gives me an edge over him, and I need it fast. I’m willing to pay you quite a lot if I can return to you with all my teeth.",
alphonse_positive_result,,"Oh my good lad, you’ve done it! I bested that thug fair and square! And here’s your just reward.",
alphonse_neutral_result,,"Mmm… I tried your mask mister, I feel the magic in there but I’m not sold yet. Do something about it please.",
alphonse_negative_result,,… Try again.,
urian_request_review,,Urian wants a mask to reassure the king he means well.,
urian_request,,"Oh.. Kind sir, you are just the one I need, yes yes… I’ve caught word of your arcane paraphernalia and I myself must simply indulge. You see, my esteemed artisan, I find myself distraught once more and in very much fear for my position as the king’s advisor. Our ever so benevolent sovereign has been disregarding my guidance and he even seems a little nervous around me lately! Can you believe that? Preposterous. Irrational I tell you. I want you to make me something to get back into his good grace so that I can continue ensuring the well being of your citizens as I have gladly done so far. I shall, of course, pay you handsomely for your services even though I’m sure you understand that it is for the good of all.",
urian_positive_result,,"Marvelous! Simply marvelous my dear artisan, you’ve done great for our citizens. Here, I am a man of my word.",
urian_neutral_result,,"No no, it doesn’t feel right. You’d better not be trying to swindle me, my artisan. Again.",
urian_negative_result,,"Listen my artisan, this “thing” you gave me doesn’t work. Make sure you do it right next time.",
wood_2,,Fairlily wood,
wood_2_description,,"Fairlily thickets are always a sight for sore eyes. Their winding trunks and gentle sways in the breeze makes one feel like they are standing in a grand ballet hall, lulled by the world's symphony. \n“Truly suitably named don’t ye think? I me-self would rather work with something more durable. Can get ye very neat details tho”. \nI remember when I first worked with this wood I had to discard my first project right away; my hands were too heavy and I ended up giving it back to the earth. My chisel wounded too deep and I felt like a brute, unworthy and dull, completely out of tune with my ideas.",
wood_0,,Heftknot wood,
wood_0_description,,"I have fond memories of this most humble wood, it gave my childhood home a warm and welcoming aura. That’s probably why I was so oblivious when I heard people say “dull as the heftknot” until I began my crafts. \nThe forests of heftwood trees stand proud and grand over the mountains of the Trenchmaw range, though very common, that is the best place to really appreciate the duality of their nature. From the hills, their canopies hug their sides with a warm embrace, the jagged rocks jutting out like deadly islands in a sea of emeralds. From below, the rays of the sun filter only in slivers, caressing the thick bark unable to peel off their tenacious essence.",
wood_1,,Grimgnarl wood,
wood_1_description,,"Once a fair dame asked old master Berach for a circlet made out of this wood, it was to become a gift for her beloved sister on the day of her wedding. Old master seemed dubious and skeptical at first but as we always do, he accepted the request. \nOne can tell much about a person's nature by the furniture in their home and various doodads, though I have to admit that grimgnarl is always an interesting choice. \nIt is very knotted and difficult to work with but at the same time, can be smoothly detailed as if cutting through butter; quite the devious wood I have to admit. It is said to be often used by the infamous witches of the Lowlands for their tools as well as decoration in the folk’s home to ward off bad luck.",
expression_2,,Mighty,
expression_2_description,,"Might can be mistaken for power and strength, but as the common Hillian saying goes “true might lies in making the right choice“. \nI find that a strong visage is the easiest to carve, sometimes too easy; one can accidentally turn a jovial look into a vicious one with just one wrong cut. Nevertheless, it exudes pride, potential and can often instill fear. \nI chuckle to myself sometimes picturing the face old master Berach used to make for reference, his big red nose twisting the “scary” expression into a grumpy lovable fellow. But drawing inspiration from that when creating a mask, courage and confidence flow like a river through the woods veins giving the strength to take action.",
expression_0,,Affable,
expression_0_description,,"“The clever lass knows when to smile”, Donndubàn used to stammer out every time he had one to many pints. I thought him to be hateful at first, I then realised putting up a smile is mostly for ourselves and its meanings can be many. Nevertheless it is invigorating and empowering to be amiable in the face of adversity, to challenge hardships with positivity. \nIt is truly incredible how one small gesture can shape the world around us so much. Wearing a smile will always make one look more gentle and in turn, soften the heart of those who look.",
expression_1,,Cunning,
expression_1_description,,"The malicious and the smart walk hand in hand, the first might take advantage of the second; the second, in turn, might find a way to dampen the first. Many stories have been written about this, many characters on those pages impersonate these two aspects to a point that we have been taught to only see them as evil and good. \nSporting a grin should feel like holding the key to a lock that loosens chains, rather than wielding a blade. \nWhen I imprint a cunning expression onto one of my masks I am always a little taken aback; the smirk, it’s piercing, sharp, almost ready to eat me up. However, through life I learned to find comfort in the slyness of this sneer, sometimes a little subterfuge is the right answer to a conundrum.",
,,,
,,,
ui_button_text_next,,Confirm,
ui_button_text_prev,,Back,
ui_button_text_confirm,,Confirm,
,,,
rune_1,,Adornments of Prowess,
rune_1_description,,"I remember drawing inspiration for these ornaments from Berach’s beard, I thought it funny at the time but my mind was in the right place. \nIt may look gaudy at first but this finish attunes to a brave heart in a pinch, reveling in the perhaps hidden grandeur of a person’s soul. \nRunes recognize when one longs for more and they dance in sync, allowing the arcane to expedite the growth of their inner courage. Plus, it is always amusing to see a reminder of my mentor on people’s faces.",
rune_2,,Talismans of Judgement,
rune_2_description,,"“Remember my boy, you need to be mindful when adding the final touches, if you add too many or put them in the wrong places, the runes won’t bind the arcane into your work”, urged sage Ruahdàin every time I grew too eager to finish my work. \nThe key was patience. I remember watching his expert hands, enthralled by the wisdom they spoke; it was as if the talismans were dancing in the melody of his ancient insight, almost begging to bind their power to him. But he had no need for them.",
rune_0,,Drapes of Guile,
rune_0_description,,"Sometimes the core of a person is concealed by drapes, flowing like waves revealing only pieces of themselves. One may see it as a way to conceal intent but most of the time the haze only serves as a way to avoid one’s fears. With that said, it is not uncommon for one’s nature to be shifty, though magic is all-seeing; it is an impartial force to be wielded, judgement is only personal. \n“The arcane is fickle, but you need not to trick it, listen and follow. You don’t want for it to think you are its recipient, you are its shaper.”",
,,,
intro_1,,"The crooked cart squeals with each push you give it going up the bright green hillside leading up to Aimendell. The crisp morning breeze is starting to feel unpleasant on your forehead and neck, beaded with sweat. \n“A strapping young lad like ye will have no trouble carrying this ol’ thing around I reckon”, Donndubàn’s jolly voice plays on repeat in your mind as you curse at the skies when yet another stone lodges itself beneath one of the wheels, halting its stride once more. \nHe really didn’t need to build this wreck out of heftknot, sure it’s steady but way too heavy. \nDonndubàn was like that. You sigh and push forward. \nBefore the large stone brick walls cast their shade on you, you pick up the faint merry melodies of flutes and tambourines accompanied by the scent of caramel mixed with hardy roasted beef and frothy ale.",
